,TRUE,SARIMA,SARIMAX,Prophet,XGBoost
8/16/2021 0:15,22.33333333,21.00535347,20.2683217,19.8543343,19.092722
8/16/2021 0:30,20.93333333,20.83919827,22.38698951,18.81589402,19.928751
8/16/2021 0:45,20.8,18.93097751,21.38397274,18.49034522,20.175535
8/16/2021 1:00,23.4,14.51748082,16.52709606,19.01707365,25.567997
8/16/2021 1:15,20.86666667,17.66825323,20.88613658,20.03882787,26.037066
8/16/2021 1:30,22.46666667,19.67473093,22.63650269,20.99720974,26.440552
8/16/2021 1:45,24,16.98757212,19.16326395,21.48427068,26.221535
8/16/2021 2:00,23.66666667,19.02258158,21.76446375,21.42527885,25.310312
8/16/2021 2:15,14.26666667,15.39332095,17.34327956,21.02112428,23.942312
8/16/2021 2:30,19.2,17.59755045,19.50717598,20.54173324,24.277021
8/16/2021 2:45,18.4,15.94311789,18.87289441,20.13318587,23.925007
8/16/2021 3:00,22.13333333,16.55844517,18.04986326,19.7614067,21.348219
8/16/2021 3:15,21.2,17.99538895,18.87199672,19.31077572,21.327497
8/16/2021 3:30,23.73333333,17.6104225,18.30402853,18.75309135,20.563892
8/16/2021 3:45,18.8,18.19992842,17.50270467,18.25407515,16.833294
8/16/2021 4:00,18.93333333,16.52163103,17.30630236,18.1183365,21.218107
8/16/2021 4:15,20.26666667,16.02353137,16.78582882,18.58097737,21.197386
8/16/2021 4:30,20.33333333,15.71302711,19.21823393,19.57956111,21.522793
8/16/2021 4:45,15.4,19.66498583,20.5326894,20.69431092,20.439882
8/16/2021 5:00,21.13333333,17.38169084,19.43422499,21.35888212,17.13235
8/16/2021 5:15,22.13333333,19.42468659,19.86304878,21.24393067,17.017298
8/16/2021 5:30,17.2,18.1809779,18.12797604,20.53766551,16.382673
8/16/2021 5:45,19.33333333,19.25881968,18.4303152,19.85708116,14.81521
8/16/2021 6:00,17.86666667,19.20981129,17.84566676,19.77124219,13.692788
8/16/2021 6:15,23.53333333,16.97953057,18.98175961,20.25477599,13.736106
8/16/2021 6:30,19.93333333,16.42644282,18.36009301,20.54247888,16.04748
8/16/2021 6:45,15.93333333,13.27851773,13.940519,19.63954356,15.461893
8/16/2021 7:00,9.333333333,13.32747099,14.07106681,17.24748488,14.365751
8/16/2021 7:15,13.2,13.17491035,13.35279089,14.44721187,14.496296
8/16/2021 7:30,13.66666667,12.29649735,12.92246415,13.5064089,15.637993
8/16/2021 7:45,19.8,11.76375991,13.19831485,16.72079855,15.879655
8/16/2021 8:00,21.93333333,15.51950704,16.82713164,24.91931921,12.695275
8/16/2021 8:15,14.86666667,35.60095152,36.87636561,36.62426806,18.311213
8/16/2021 8:30,48.86666667,46.34571551,49.86095316,48.53051707,40.3967
8/16/2021 8:45,60.93333333,49.28647297,54.36927685,57.12175626,42.865364
8/16/2021 9:00,51.93333333,44.663769,49.2840518,60.45968399,43.61176
8/16/2021 9:15,59.13333333,46.09933238,51.34164576,59.04040897,43.336575
8/16/2021 9:30,55.2,43.83181993,48.01789732,55.23433461,42.891598
8/16/2021 9:45,46.46666667,43.88344384,48.87032607,51.76879274,44.554058
8/16/2021 10:00,40.66666667,41.29683004,45.61157914,50.29446293,41.913235
8/16/2021 10:15,43.53333333,37.59951747,43.90387063,50.89563294,40.877876
8/16/2021 10:30,44.66666667,42.20438484,47.73398133,52.64321919,41.76129
8/16/2021 10:45,43.66666667,42.98128756,47.98082221,54.55761896,42.492886
8/16/2021 11:00,44,42.54336422,49.07550962,56.19120116,47.073326
8/16/2021 11:15,55,46.11324231,53.09084859,57.51285487,49.125034
8/16/2021 11:30,53.33333333,46.52182935,52.22848978,58.42826927,48.904507
8/16/2021 11:45,55.13333333,48.4357099,54.54469197,58.53896057,50.272552
8/16/2021 12:00,53.93333333,41.01868444,46.41073515,57.43305214,42.67123
8/16/2021 12:15,53.73333333,40.96510457,46.8887975,55.22782002,41.86727
8/16/2021 12:30,49.4,43.38461052,49.56158796,52.7862274,45.558113
8/16/2021 12:45,48.93333333,40.10939989,47.30347859,51.28889342,45.760376
8/16/2021 13:00,51.73333333,37.31899878,42.02392183,51.43457075,44.37903
8/16/2021 13:15,43.4,39.64133632,46.04322667,52.93069714,44.56234
8/16/2021 13:30,47.33333333,38.37088244,46.61021433,54.74775155,45.506702
8/16/2021 13:45,42.4,41.25324494,48.58485242,55.97641986,45.708965
8/16/2021 14:00,50.33333333,42.84302839,49.44813531,56.58298193,50.346336
8/16/2021 14:15,52.66666667,46.60763533,52.80769781,57.39503763,51.293316
8/16/2021 14:30,49.2,45.71340273,52.72751631,59.27454153,51.63129
8/16/2021 14:45,47.46666667,46.3648422,53.81783517,62.1437926,51.777363
8/16/2021 15:00,51.2,48.07588949,54.89843434,64.71684787,54.575615
8/16/2021 15:15,59.73333333,45.29452049,54.5662717,65.26095235,55.83505
8/16/2021 15:30,54.2,47.08965975,54.72262515,62.87207792,54.741734
8/16/2021 15:45,51.8,47.08713594,55.07160597,58.27857234,54.835518
8/16/2021 16:00,49.86666667,40.35047459,46.15815283,53.49244715,42.176006
8/16/2021 16:15,40.53333333,35.61388856,40.04984966,50.4940171,38.85808
8/16/2021 16:30,42.33333333,36.72127223,42.8626776,49.88862302,40.80917
8/16/2021 16:45,42.06666667,36.37244679,44.05682771,50.5190018,41.520824
8/16/2021 17:00,41.33333333,36.36910332,43.42487667,50.3137223,44.391853
8/16/2021 17:15,39.73333333,37.16756372,44.14243504,47.74540881,43.42528
8/16/2021 17:30,31.33333333,26.89629959,32.95130331,42.85397612,34.820976
8/16/2021 17:45,27.13333333,27.35188269,30.46758024,37.15529856,31.19374
8/16/2021 18:00,36.46666667,23.13960619,27.77072417,32.59017899,28.469652
8/16/2021 18:15,27.53333333,21.20892425,25.97211212,30.32157768,27.15593
8/16/2021 18:30,19.2,19.04231591,24.41396729,30.194917,26.019444
8/16/2021 18:45,20.86666667,21.76733874,26.9094093,31.10087173,25.696981
8/16/2021 19:00,26.46666667,21.3897285,26.58283059,31.81930439,27.579824
8/16/2021 19:15,25.6,21.1102381,26.5369573,31.67946167,25.258053
8/16/2021 19:30,29.73333333,21.82639586,26.45159164,30.66139286,23.676926
8/16/2021 19:45,25.4,21.47584561,24.94628847,29.07107934,23.354464
8/16/2021 20:00,23.33333333,18.26465939,22.99554403,27.20581889,23.386038
8/16/2021 20:15,20.53333333,17.82271638,20.51956485,25.29593296,21.390984
8/16/2021 20:30,19.86666667,14.46510612,17.42008874,23.65101527,17.013515
8/16/2021 20:45,11.06666667,15.84183864,18.08701367,22.71524113,16.691053
8/16/2021 21:00,12,15.34303625,17.81243109,22.84816795,18.477942
8/16/2021 21:15,12.13333333,16.12600262,19.22130919,23.96859896,19.130552
8/16/2021 21:30,13.4,19.19849486,20.78837865,25.40822075,19.228895
8/16/2021 21:45,23.4,18.30954367,20.96833673,26.20302413,19.571665
8/16/2021 22:00,21.86666667,16.48735588,19.85574631,25.6898308,24.470455
8/16/2021 22:15,27.33333333,13.87721448,17.40718176,23.9840828,24.602404
8/16/2021 22:30,22.8,11.46018346,15.09157227,21.95656383,25.089272
8/16/2021 22:45,22.46666667,10.55533309,14.3728172,20.68617804,24.834812
8/16/2021 23:00,21.26666667,14.69166711,15.50691856,20.76132897,19.669512
8/16/2021 23:15,20.86666667,13.82138627,14.29735784,21.91995302,19.5196
8/16/2021 23:30,21.53333333,15.92748148,17.53235841,23.26825275,19.406582
8/16/2021 23:45,31.8,15.39313004,18.1203226,23.90011013,19.4399
8/17/2021 0:00,35.46666667,14.10853847,18.93851697,23.47187826,19.06088
