,Training,TrueValue,SARIMA,SARIMAX,Prophet,XGBoost
2021-08-12 00:00:00,23.6,,,,,
2021-08-12 00:15:00,13.6,,,,,
2021-08-12 00:30:00,13.866666666666667,,,,,
2021-08-12 00:45:00,20.53333333333333,,,,,
2021-08-12 01:00:00,14.6,,,,,
2021-08-12 01:15:00,10.533333333333331,,,,,
2021-08-12 01:30:00,11.6,,,,,
2021-08-12 01:45:00,13.6,,,,,
2021-08-12 02:00:00,22.2,,,,,
2021-08-12 02:15:00,18.866666666666667,,,,,
2021-08-12 02:30:00,23.666666666666668,,,,,
2021-08-12 02:45:00,23.133333333333333,,,,,
2021-08-12 03:00:00,19.466666666666665,,,,,
2021-08-12 03:15:00,17.866666666666667,,,,,
2021-08-12 03:30:00,16.733333333333334,,,,,
2021-08-12 03:45:00,10.4,,,,,
2021-08-12 04:00:00,9.333333333333334,,,,,
2021-08-12 04:15:00,11.933333333333334,,,,,
2021-08-12 04:30:00,10.533333333333331,,,,,
2021-08-12 04:45:00,19.466666666666665,,,,,
2021-08-12 05:00:00,19.266666666666666,,,,,
2021-08-12 05:15:00,24.066666666666663,,,,,
2021-08-12 05:30:00,16.533333333333335,,,,,
2021-08-12 05:45:00,17.933333333333334,,,,,
2021-08-12 06:00:00,12.266666666666667,,,,,
2021-08-12 06:15:00,11.733333333333333,,,,,
2021-08-12 06:30:00,18.0,,,,,
2021-08-12 06:45:00,16.8,,,,,
2021-08-12 07:00:00,16.666666666666668,,,,,
2021-08-12 07:15:00,12.6,,,,,
2021-08-12 07:30:00,12.866666666666667,,,,,
2021-08-12 07:45:00,17.466666666666665,,,,,
2021-08-12 08:00:00,12.866666666666667,,,,,
2021-08-12 08:15:00,25.933333333333334,,,,,
2021-08-12 08:30:00,43.66666666666666,,,,,
2021-08-12 08:45:00,48.06666666666667,,,,,
2021-08-12 09:00:00,47.86666666666667,,,,,
2021-08-12 09:15:00,42.6,,,,,
2021-08-12 09:30:00,47.8,,,,,
2021-08-12 09:45:00,50.2,,,,,
2021-08-12 10:00:00,46.86666666666667,,,,,
2021-08-12 10:15:00,51.4,,,,,
2021-08-12 10:30:00,49.6,,,,,
2021-08-12 10:45:00,43.8,,,,,
2021-08-12 11:00:00,49.06666666666667,,,,,
2021-08-12 11:15:00,50.73333333333333,,,,,
2021-08-12 11:30:00,52.93333333333333,,,,,
2021-08-12 11:45:00,57.66666666666666,,,,,
2021-08-12 12:00:00,47.53333333333333,,,,,
2021-08-12 12:15:00,46.266666666666666,,,,,
2021-08-12 12:30:00,52.4,,,,,
2021-08-12 12:45:00,52.2,,,,,
2021-08-12 13:00:00,43.2,,,,,
2021-08-12 13:15:00,47.6,,,,,
2021-08-12 13:30:00,46.6,,,,,
2021-08-12 13:45:00,49.66666666666666,,,,,
2021-08-12 14:00:00,44.0,,,,,
2021-08-12 14:15:00,44.93333333333333,,,,,
2021-08-12 14:30:00,46.73333333333333,,,,,
2021-08-12 14:45:00,46.86666666666667,,,,,
2021-08-12 15:00:00,55.13333333333333,,,,,
2021-08-12 15:15:00,57.46666666666667,,,,,
2021-08-12 15:30:00,54.0,,,,,
2021-08-12 15:45:00,52.333333333333336,,,,,
2021-08-12 16:00:00,47.2,,,,,
2021-08-12 16:15:00,39.86666666666667,,,,,
2021-08-12 16:30:00,40.86666666666667,,,,,
2021-08-12 16:45:00,42.4,,,,,
2021-08-12 17:00:00,47.46666666666667,,,,,
2021-08-12 17:15:00,43.66666666666666,,,,,
2021-08-12 17:30:00,33.4,,,,,
2021-08-12 17:45:00,30.266666666666666,,,,,
2021-08-12 18:00:00,31.73333333333333,,,,,
2021-08-12 18:15:00,28.53333333333333,,,,,
2021-08-12 18:30:00,28.4,,,,,
2021-08-12 18:45:00,32.46666666666667,,,,,
2021-08-12 19:00:00,31.33333333333333,,,,,
2021-08-12 19:15:00,30.4,,,,,
2021-08-12 19:30:00,23.933333333333334,,,,,
2021-08-12 19:45:00,20.933333333333334,,,,,
2021-08-12 20:00:00,24.73333333333333,,,,,
2021-08-12 20:15:00,23.666666666666668,,,,,
2021-08-12 20:30:00,19.53333333333333,,,,,
2021-08-12 20:45:00,17.4,,,,,
2021-08-12 21:00:00,18.33333333333333,,,,,
2021-08-12 21:15:00,15.8,,,,,
2021-08-12 21:30:00,17.733333333333334,,,,,
2021-08-12 21:45:00,16.8,,,,,
2021-08-12 22:00:00,13.533333333333331,,,,,
2021-08-12 22:15:00,14.266666666666667,,,,,
2021-08-12 22:30:00,9.666666666666666,,,,,
2021-08-12 22:45:00,12.733333333333333,,,,,
2021-08-12 23:00:00,9.066666666666666,,,,,
2021-08-12 23:15:00,13.733333333333333,,,,,
2021-08-12 23:30:00,20.2,,,,,
2021-08-12 23:45:00,19.0,,,,,
2021-08-13 00:00:00,22.266666666666666,,,,,
2021-08-13 00:15:00,19.6,,,,,
2021-08-13 00:30:00,18.666666666666668,,,,,
2021-08-13 00:45:00,12.333333333333334,,,,,
2021-08-13 01:00:00,12.933333333333334,,,,,
2021-08-13 01:15:00,14.933333333333334,,,,,
2021-08-13 01:30:00,14.333333333333334,,,,,
2021-08-13 01:45:00,10.066666666666666,,,,,
2021-08-13 02:00:00,16.6,,,,,
2021-08-13 02:15:00,14.8,,,,,
2021-08-13 02:30:00,9.533333333333331,,,,,
2021-08-13 02:45:00,6.666666666666667,,,,,
2021-08-13 03:00:00,5.866666666666666,,,,,
2021-08-13 03:15:00,9.466666666666669,,,,,
2021-08-13 03:30:00,6.4,,,,,
2021-08-13 03:45:00,7.466666666666667,,,,,
2021-08-13 04:00:00,8.933333333333334,,,,,
2021-08-13 04:15:00,11.4,,,,,
2021-08-13 04:30:00,8.8,,,,,
2021-08-13 04:45:00,6.333333333333333,,,,,
2021-08-13 05:00:00,8.066666666666666,,,,,
2021-08-13 05:15:00,8.466666666666667,,,,,
2021-08-13 05:30:00,12.0,,,,,
2021-08-13 05:45:00,14.933333333333334,,,,,
2021-08-13 06:00:00,21.53333333333333,,,,,
2021-08-13 06:15:00,24.2,,,,,
2021-08-13 06:30:00,22.0,,,,,
2021-08-13 06:45:00,12.6,,,,,
2021-08-13 07:00:00,16.733333333333334,,,,,
2021-08-13 07:15:00,13.733333333333333,,,,,
2021-08-13 07:30:00,15.333333333333334,,,,,
2021-08-13 07:45:00,11.733333333333333,,,,,
2021-08-13 08:00:00,10.666666666666666,,,,,
2021-08-13 08:15:00,30.866666666666667,,,,,
2021-08-13 08:30:00,50.53333333333333,,,,,
2021-08-13 08:45:00,58.2,,,,,
2021-08-13 09:00:00,55.4,,,,,
2021-08-13 09:15:00,59.73333333333333,,,,,
2021-08-13 09:30:00,52.66666666666666,,,,,
2021-08-13 09:45:00,45.66666666666666,,,,,
2021-08-13 10:00:00,37.53333333333333,,,,,
2021-08-13 10:15:00,40.6,,,,,
2021-08-13 10:30:00,46.4,,,,,
2021-08-13 10:45:00,45.46666666666667,,,,,
2021-08-13 11:00:00,43.93333333333333,,,,,
2021-08-13 11:15:00,52.53333333333333,,,,,
2021-08-13 11:30:00,51.06666666666667,,,,,
2021-08-13 11:45:00,52.46666666666667,,,,,
2021-08-13 12:00:00,53.06666666666667,,,,,
2021-08-13 12:15:00,44.86666666666667,,,,,
2021-08-13 12:30:00,51.4,,,,,
2021-08-13 12:45:00,52.0,,,,,
2021-08-13 13:00:00,47.333333333333336,,,,,
2021-08-13 13:15:00,51.73333333333333,,,,,
2021-08-13 13:30:00,51.06666666666667,,,,,
2021-08-13 13:45:00,54.4,,,,,
2021-08-13 14:00:00,57.0,,,,,
2021-08-13 14:15:00,58.6,,,,,
2021-08-13 14:30:00,64.2,,,,,
2021-08-13 14:45:00,61.2,,,,,
2021-08-13 15:00:00,55.8,,,,,
2021-08-13 15:15:00,57.66666666666666,,,,,
2021-08-13 15:30:00,59.8,,,,,
2021-08-13 15:45:00,57.333333333333336,,,,,
2021-08-13 16:00:00,49.6,,,,,
2021-08-13 16:15:00,44.93333333333333,,,,,
2021-08-13 16:30:00,43.66666666666666,,,,,
2021-08-13 16:45:00,52.53333333333333,,,,,
2021-08-13 17:00:00,50.93333333333333,,,,,
2021-08-13 17:15:00,52.06666666666667,,,,,
2021-08-13 17:30:00,35.733333333333334,,,,,
2021-08-13 17:45:00,33.733333333333334,,,,,
2021-08-13 18:00:00,22.133333333333333,,,,,
2021-08-13 18:15:00,27.066666666666663,,,,,
2021-08-13 18:30:00,26.0,,,,,
2021-08-13 18:45:00,25.8,,,,,
2021-08-13 19:00:00,25.466666666666665,,,,,
2021-08-13 19:15:00,24.666666666666668,,,,,
2021-08-13 19:30:00,22.133333333333333,,,,,
2021-08-13 19:45:00,20.866666666666667,,,,,
2021-08-13 20:00:00,21.8,,,,,
2021-08-13 20:15:00,19.0,,,,,
2021-08-13 20:30:00,16.533333333333335,,,,,
2021-08-13 20:45:00,17.6,,,,,
2021-08-13 21:00:00,14.466666666666669,,,,,
2021-08-13 21:15:00,15.066666666666666,,,,,
2021-08-13 21:30:00,25.2,,,,,
2021-08-13 21:45:00,31.666666666666668,,,,,
2021-08-13 22:00:00,23.53333333333333,,,,,
2021-08-13 22:15:00,17.733333333333334,,,,,
2021-08-13 22:30:00,8.8,,,,,
2021-08-13 22:45:00,10.8,,,,,
2021-08-13 23:00:00,11.866666666666667,,,,,
2021-08-13 23:15:00,14.066666666666666,,,,,
2021-08-13 23:30:00,12.066666666666666,,,,,
2021-08-13 23:45:00,10.466666666666669,,,,,
2021-08-14 00:00:00,8.266666666666667,,,,,
2021-08-14 00:15:00,11.6,,,,,
2021-08-14 00:30:00,10.133333333333333,,,,,
2021-08-14 00:45:00,7.933333333333334,,,,,
2021-08-14 01:00:00,6.266666666666667,,,,,
2021-08-14 01:15:00,9.2,,,,,
2021-08-14 01:30:00,13.733333333333333,,,,,
2021-08-14 01:45:00,12.533333333333331,,,,,
2021-08-14 02:00:00,15.266666666666667,,,,,
2021-08-14 02:15:00,11.133333333333333,,,,,
2021-08-14 02:30:00,13.933333333333334,,,,,
2021-08-14 02:45:00,8.866666666666667,,,,,
2021-08-14 03:00:00,13.2,,,,,
2021-08-14 03:15:00,15.8,,,,,
2021-08-14 03:30:00,13.0,,,,,
2021-08-14 03:45:00,16.0,,,,,
2021-08-14 04:00:00,12.0,,,,,
2021-08-14 04:15:00,13.066666666666666,,,,,
2021-08-14 04:30:00,7.8,,,,,
2021-08-14 04:45:00,18.53333333333333,,,,,
2021-08-14 05:00:00,10.6,,,,,
2021-08-14 05:15:00,17.266666666666666,,,,,
2021-08-14 05:30:00,15.6,,,,,
2021-08-14 05:45:00,18.53333333333333,,,,,
2021-08-14 06:00:00,20.266666666666666,,,,,
2021-08-14 06:15:00,6.333333333333333,,,,,
2021-08-14 06:30:00,10.2,,,,,
2021-08-14 06:45:00,9.6,,,,,
2021-08-14 07:00:00,9.266666666666667,,,,,
2021-08-14 07:15:00,10.333333333333334,,,,,
2021-08-14 07:30:00,9.266666666666667,,,,,
2021-08-14 07:45:00,7.666666666666667,,,,,
2021-08-14 08:00:00,8.666666666666666,,,,,
2021-08-14 08:15:00,34.46666666666667,,,,,
2021-08-14 08:30:00,55.8,,,,,
2021-08-14 08:45:00,57.46666666666667,,,,,
2021-08-14 09:00:00,55.2,,,,,
2021-08-14 09:15:00,53.46666666666667,,,,,
2021-08-14 09:30:00,53.8,,,,,
2021-08-14 09:45:00,55.266666666666666,,,,,
2021-08-14 10:00:00,52.73333333333333,,,,,
2021-08-14 10:15:00,39.6,,,,,
2021-08-14 10:30:00,46.4,,,,,
2021-08-14 10:45:00,51.73333333333333,,,,,
2021-08-14 11:00:00,48.66666666666666,,,,,
2021-08-14 11:15:00,55.66666666666666,,,,,
2021-08-14 11:30:00,58.46666666666667,,,,,
2021-08-14 11:45:00,61.266666666666666,,,,,
2021-08-14 12:00:00,50.6,,,,,
2021-08-14 12:15:00,44.73333333333333,,,,,
2021-08-14 12:30:00,50.93333333333333,,,,,
2021-08-14 12:45:00,45.66666666666666,,,,,
2021-08-14 13:00:00,48.333333333333336,,,,,
2021-08-14 13:15:00,46.6,,,,,
2021-08-14 13:30:00,39.8,,,,,
2021-08-14 13:45:00,45.73333333333333,,,,,
2021-08-14 14:00:00,50.86666666666667,,,,,
2021-08-14 14:15:00,57.86666666666667,,,,,
2021-08-14 14:30:00,54.4,,,,,
2021-08-14 14:45:00,54.53333333333333,,,,,
2021-08-14 15:00:00,61.4,,,,,
2021-08-14 15:15:00,56.46666666666667,,,,,
2021-08-14 15:30:00,58.73333333333333,,,,,
2021-08-14 15:45:00,59.73333333333333,,,,,
2021-08-14 16:00:00,50.8,,,,,
2021-08-14 16:15:00,46.66666666666666,,,,,
2021-08-14 16:30:00,41.266666666666666,,,,,
2021-08-14 16:45:00,39.0,,,,,
2021-08-14 17:00:00,43.66666666666666,,,,,
2021-08-14 17:15:00,43.0,,,,,
2021-08-14 17:30:00,28.6,,,,,
2021-08-14 17:45:00,32.733333333333334,,,,,
2021-08-14 18:00:00,24.933333333333334,,,,,
2021-08-14 18:15:00,21.0,,,,,
2021-08-14 18:30:00,17.533333333333335,,,,,
2021-08-14 18:45:00,21.866666666666667,,,,,
2021-08-14 19:00:00,20.33333333333333,,,,,
2021-08-14 19:15:00,17.666666666666668,,,,,
2021-08-14 19:30:00,20.466666666666665,,,,,
2021-08-14 19:45:00,22.066666666666663,,,,,
2021-08-14 20:00:00,18.666666666666668,,,,,
2021-08-14 20:15:00,22.933333333333334,,,,,
2021-08-14 20:30:00,13.0,,,,,
2021-08-14 20:45:00,17.0,,,,,
2021-08-14 21:00:00,18.0,,,,,
2021-08-14 21:15:00,15.133333333333333,,,,,
2021-08-14 21:30:00,24.266666666666666,,,,,
2021-08-14 21:45:00,21.6,,,,,
2021-08-14 22:00:00,15.666666666666666,,,,,
2021-08-14 22:15:00,17.533333333333335,,,,,
2021-08-14 22:30:00,16.466666666666665,,,,,
2021-08-14 22:45:00,13.733333333333333,,,,,
2021-08-14 23:00:00,26.933333333333334,,,,,
2021-08-14 23:15:00,21.266666666666666,,,,,
2021-08-14 23:30:00,22.066666666666663,,,,,
2021-08-14 23:45:00,19.866666666666667,,,,,
2021-08-15 00:00:00,12.8,,,,,
2021-08-15 00:15:00,14.866666666666667,,,,,
2021-08-15 00:30:00,19.73333333333333,,,,,
2021-08-15 00:45:00,19.666666666666668,,,,,
2021-08-15 01:00:00,8.533333333333333,,,,,
2021-08-15 01:15:00,17.133333333333333,,,,,
2021-08-15 01:30:00,20.666666666666668,,,,,
2021-08-15 01:45:00,14.933333333333334,,,,,
2021-08-15 02:00:00,16.333333333333332,,,,,
2021-08-15 02:15:00,9.533333333333331,,,,,
2021-08-15 02:30:00,16.266666666666666,,,,,
2021-08-15 02:45:00,16.866666666666667,,,,,
2021-08-15 03:00:00,16.0,,,,,
2021-08-15 03:15:00,17.533333333333335,,,,,
2021-08-15 03:30:00,20.466666666666665,,,,,
2021-08-15 03:45:00,20.266666666666666,,,,,
2021-08-15 04:00:00,18.066666666666663,,,,,
2021-08-15 04:15:00,14.466666666666669,,,,,
2021-08-15 04:30:00,19.53333333333333,,,,,
2021-08-15 04:45:00,23.33333333333333,,,,,
2021-08-15 05:00:00,22.6,,,,,
2021-08-15 05:15:00,23.0,,,,,
2021-08-15 05:30:00,20.066666666666663,,,,,
2021-08-15 05:45:00,20.0,,,,,
2021-08-15 06:00:00,16.533333333333335,,,,,
