,Training,TrueValue,SARIMA,SARIMAX,Prophet,XGBoost
2021-08-15 06:15:00,21.066666666666663,,,,,
2021-08-15 06:30:00,16.066666666666666,,,,,
2021-08-15 06:45:00,10.133333333333333,,,,,
2021-08-15 07:00:00,9.266666666666667,,,,,
2021-08-15 07:15:00,9.6,,,,,
2021-08-15 07:30:00,7.2,,,,,
2021-08-15 07:45:00,8.0,,,,,
2021-08-15 08:00:00,20.8,,,,,
2021-08-15 08:15:00,55.333333333333336,,,,,
2021-08-15 08:30:00,62.2,,,,,
2021-08-15 08:45:00,67.26666666666667,,,,,
2021-08-15 09:00:00,55.2,,,,,
2021-08-15 09:15:00,60.66666666666666,,,,,
2021-08-15 09:30:00,55.2,,,,,
2021-08-15 09:45:00,56.6,,,,,
2021-08-15 10:00:00,54.0,,,,,
2021-08-15 10:15:00,52.266666666666666,,,,,
2021-08-15 10:30:00,59.6,,,,,
2021-08-15 10:45:00,58.4,,,,,
2021-08-15 11:00:00,59.93333333333333,,,,,
2021-08-15 11:15:00,62.06666666666667,,,,,
2021-08-15 11:30:00,61.46666666666667,,,,,
2021-08-15 11:45:00,64.46666666666667,,,,,
2021-08-15 12:00:00,50.53333333333333,,,,,
2021-08-15 12:15:00,59.266666666666666,,,,,
2021-08-15 12:30:00,58.6,,,,,
2021-08-15 12:45:00,52.4,,,,,
2021-08-15 13:00:00,43.6,,,,,
2021-08-15 13:15:00,50.93333333333333,,,,,
2021-08-15 13:30:00,53.4,,,,,
2021-08-15 13:45:00,56.2,,,,,
2021-08-15 14:00:00,56.53333333333333,,,,,
2021-08-15 14:15:00,62.13333333333333,,,,,
2021-08-15 14:30:00,60.13333333333333,,,,,
2021-08-15 14:45:00,63.46666666666667,,,,,
2021-08-15 15:00:00,64.26666666666667,,,,,
2021-08-15 15:15:00,58.53333333333333,,,,,
2021-08-15 15:30:00,62.266666666666666,,,,,
2021-08-15 15:45:00,62.6,,,,,
2021-08-15 16:00:00,52.13333333333333,,,,,
2021-08-15 16:15:00,42.86666666666667,,,,,
2021-08-15 16:30:00,52.0,,,,,
2021-08-15 16:45:00,49.4,,,,,
2021-08-15 17:00:00,45.333333333333336,,,,,
2021-08-15 17:15:00,48.73333333333333,,,,,
2021-08-15 17:30:00,35.2,,,,,
2021-08-15 17:45:00,34.333333333333336,,,,,
2021-08-15 18:00:00,31.8,,,,,
2021-08-15 18:15:00,27.53333333333333,,,,,
2021-08-15 18:30:00,24.0,,,,,
2021-08-15 18:45:00,28.933333333333334,,,,,
2021-08-15 19:00:00,29.466666666666665,,,,,
2021-08-15 19:15:00,31.53333333333333,,,,,
2021-08-15 19:30:00,33.13333333333333,,,,,
2021-08-15 19:45:00,31.466666666666665,,,,,
2021-08-15 20:00:00,23.133333333333333,,,,,
2021-08-15 20:15:00,19.133333333333333,,,,,
2021-08-15 20:30:00,18.6,,,,,
2021-08-15 20:45:00,19.466666666666665,,,,,
2021-08-15 21:00:00,18.066666666666663,,,,,
2021-08-15 21:15:00,23.466666666666665,,,,,
2021-08-15 21:30:00,21.4,,,,,
2021-08-15 21:45:00,18.53333333333333,,,,,
2021-08-15 22:00:00,21.466666666666665,,,,,
2021-08-15 22:15:00,13.2,,,,,
2021-08-15 22:30:00,10.066666666666666,,,,,
2021-08-15 22:45:00,8.6,,,,,
2021-08-15 23:00:00,10.466666666666669,,,,,
2021-08-15 23:15:00,11.666666666666666,,,,,
2021-08-15 23:30:00,18.133333333333333,,,,,
2021-08-15 23:45:00,19.133333333333333,,,,,
2021-08-16 00:00:00,21.866666666666667,,,,,
2021-08-16 00:15:00,,22.33333333333333,21.00535346516597,20.26832169684625,17.6186157082121,19.116041
2021-08-16 00:30:00,,20.933333333333334,20.839198269310444,22.38698950624354,17.489858545037265,19.95207
2021-08-16 00:45:00,,20.8,18.93097750547736,21.38397273885779,17.556311203977724,20.196495
2021-08-16 01:00:00,,23.4,14.5174808239436,16.52709606406552,17.813037638845458,25.563908
2021-08-16 01:15:00,,20.866666666666667,17.66825323091582,20.8861365762258,18.239153087540902,26.060385
2021-08-16 01:30:00,,22.466666666666665,19.67473092692192,22.63650268895882,18.799041036112257,26.463871
2021-08-16 01:45:00,,24.0,16.987572118980292,19.16326394683628,19.44477457406468,26.242495
2021-08-16 02:00:00,,23.666666666666668,19.02258157610652,21.76446374700009,20.11958015517878,25.334711
2021-08-16 02:15:00,,14.266666666666667,15.393320948751663,17.343279562642756,20.76210399978637,23.953352
2021-08-16 02:30:00,,19.2,17.59755045128309,19.50717598306468,21.3111800187096,24.288061
2021-08-16 02:45:00,,18.4,15.94311788980078,18.872894407036267,21.71075761391692,23.933687
2021-08-16 03:00:00,,22.133333333333333,16.558445170419855,18.049863263746285,21.91463097493656,21.372618
2021-08-16 03:15:00,,21.2,17.995388946269166,18.871996722991145,21.89061991986185,21.338537
2021-08-16 03:30:00,,23.73333333333333,17.610422504213226,18.304028529242945,21.623885490082245,20.574932
2021-08-16 03:45:00,,18.8,18.19992841700434,17.502704674368065,21.119119299170464,16.773003
2021-08-16 04:00:00,,18.933333333333334,16.521631034171154,17.306302359253664,20.401420374459505,21.242506
2021-08-16 04:15:00,,20.266666666666666,16.02353137475344,16.78582881561937,19.5157618503698,21.208426
2021-08-16 04:30:00,,20.33333333333333,15.71302711271244,19.21823393122888,18.52504641024122,21.533833
2021-08-16 04:45:00,,15.4,19.66498582771157,20.53268940484412,17.50684718377936,20.48589
2021-08-16 05:00:00,,21.133333333333333,17.381690839428494,19.434224992524065,16.549023191281186,17.15675
2021-08-16 05:15:00,,22.133333333333333,19.424686589452005,19.863048777775624,15.744478966258274,17.028337
2021-08-16 05:30:00,,17.2,18.180977900707127,18.127976036489294,15.18540108963574,16.393713
2021-08-16 05:45:00,,19.33333333333333,19.25881967593353,18.430315197101105,14.957345494903226,14.827108
2021-08-16 06:00:00,,17.866666666666667,19.209811290733747,17.845666763019985,15.13356565262212,13.717185
2021-08-16 06:15:00,,23.53333333333333,16.9795305702791,18.981759606801127,15.769961699668958,13.747146
2021-08-16 06:30:00,,19.933333333333334,16.426442821085434,18.36009300884732,16.900994771870323,16.05852
2021-08-16 06:45:00,,15.933333333333334,13.278517730171332,13.940519003421482,18.536851423352303,15.473791
2021-08-16 07:00:00,,9.333333333333334,13.327470986377469,14.07106680515865,20.66206387327209,14.390148
2021-08-16 07:15:00,,13.2,13.174910349607972,13.35279088535942,23.23569818642344,14.507336
2021-08-16 07:30:00,,13.666666666666666,12.296497352081806,12.922464152090988,26.193120440787784,15.649033
2021-08-16 07:45:00,,19.8,11.763759910366607,13.198314849490794,29.44924738823673,15.891553
2021-08-16 08:00:00,,21.933333333333334,15.51950703828048,16.82713163900295,32.903089948980664,12.711455
2021-08-16 08:15:00,,14.866666666666667,35.60095151830505,36.876365606271406,36.44331171011826,18.324432
2021-08-16 08:30:00,,48.86666666666667,46.34571551421296,49.86095316209281,39.954456221405685,40.409916
2021-08-16 08:45:00,,60.93333333333333,49.2864729732888,54.36927685142192,43.323451111436526,42.89543
2021-08-16 09:00:00,,51.93333333333333,44.66376900285911,49.28405179776191,46.445976765156416,43.610775
2021-08-16 09:15:00,,59.13333333333333,46.09933237835037,51.34164576076624,49.23229426343355,43.358574
2021-08-16 09:30:00,,55.2,43.83181992768709,48.017897318236656,51.61216093670073,42.90481
2021-08-16 09:45:00,,46.46666666666667,43.88344383897038,48.87032607488074,53.53852014848575,44.59233
2021-08-16 10:00:00,,40.66666666666666,41.29683004412579,45.61157914040639,54.98973095000285,41.961
2021-08-16 10:15:00,,43.53333333333333,37.599517474393096,43.90387063377965,55.97019796122855,40.914185
2021-08-16 10:30:00,,44.66666666666666,42.204384838888494,47.73398133273548,56.50936576375232,41.746304
2021-08-16 10:45:00,,43.66666666666666,42.98128755761239,47.98082221157641,56.65914857080536,42.502956
2021-08-16 11:00:00,,44.0,42.5433642209405,49.0755096216118,56.48996776590009,47.13898
2021-08-16 11:15:00,,55.0,46.113242305160654,53.090848593413305,56.08566035892066,49.19069
2021-08-16 11:30:00,,53.333333333333336,46.52182934980959,52.22848977572545,55.53759450316122,48.890923
2021-08-16 11:45:00,,55.13333333333333,48.43570990354878,54.54469197458533,54.93837908630088,50.284027
2021-08-16 12:00:00,,53.93333333333333,41.01868444166725,46.41073514520384,54.37557969212149,42.623936
2021-08-16 12:15:00,,53.73333333333333,40.96510457101802,46.888797501271405,53.925851282837854,41.819977
2021-08-16 12:30:00,,49.4,43.38461051876378,49.56158795859479,53.6498689331167,45.54466
2021-08-16 12:45:00,,48.93333333333333,40.109399890205225,47.30347858762346,53.58838382865881,45.77198
2021-08-16 13:00:00,,51.73333333333333,37.31899878443325,42.023921826219706,53.759656184026056,44.396683
2021-08-16 13:15:00,,43.4,39.64133632276742,46.04322666862626,54.15842478491,44.579994
2021-08-16 13:30:00,,47.333333333333336,38.37088243833984,46.61021433240368,54.75647070676516,45.524357
2021-08-16 13:45:00,,42.4,41.25324494432067,48.584852419472135,55.50472720863716,45.75168
2021-08-16 14:00:00,,50.333333333333336,42.84302838841623,49.44813530541366,56.336785897166,50.38165
2021-08-16 14:15:00,,52.66666666666666,46.607635332373,52.80769780814823,57.17355777904006,51.32863
2021-08-16 14:30:00,,49.2,45.71340272711647,52.72751630799945,57.92877280585065,51.666603
2021-08-16 14:45:00,,47.46666666666667,46.36484219687607,53.81783516820499,58.51494793777915,51.822605
2021-08-16 15:00:00,,51.2,48.07588949056336,54.898434335500966,58.84942504974806,54.643105
2021-08-16 15:15:00,,59.73333333333333,45.2945204932049,54.56627170201919,58.86007800054736,55.90254
2021-08-16 15:30:00,,54.2,47.08965975326108,54.72262515207558,58.49031289087883,54.809223
2021-08-16 15:45:00,,51.8,47.08713594388247,55.07160597319291,57.70303512886622,54.912937
2021-08-16 16:00:00,,49.86666666666667,40.35047458674735,46.15815282609495,56.483327980831554,42.227932
2021-08-16 16:15:00,,40.53333333333333,35.61388856078504,40.04984965999068,54.83967489304496,38.86165
2021-08-16 16:30:00,,42.333333333333336,36.72127222932333,42.862677601812656,52.80365607455476,40.83753
2021-08-16 16:45:00,,42.06666666666667,36.37244679180466,44.05682771109984,50.42815196805599,41.609455
2021-08-16 17:00:00,,41.333333333333336,36.36910332082141,43.4248766740351,47.784185369163325,44.447643
2021-08-16 17:15:00,,39.73333333333333,37.1675637187164,44.1424350386792,44.95662351306776,43.457504
2021-08-16 17:30:00,,31.33333333333333,26.89629958827804,32.95130330909369,42.03903536622201,34.8532
2021-08-16 17:45:00,,27.133333333333333,27.35188269462488,30.46758023892597,39.12805279860805,31.040928
2021-08-16 18:00:00,,36.46666666666667,23.13960619213561,27.77072416695036,36.31761381139383,28.50878
2021-08-16 18:15:00,,27.53333333333333,21.208924250425447,25.972112116680343,33.69346970833598,27.18816
2021-08-16 18:30:00,,19.2,19.042315911622936,24.413967287475447,31.32831591928961,26.051674
2021-08-16 18:45:00,,20.866666666666667,21.76733874283161,26.9094092994754,29.277859926253665,25.694616
2021-08-16 19:00:00,,26.466666666666665,21.389728504043354,26.582830590334595,27.578072583312267,27.618952
2021-08-16 19:15:00,,25.6,21.110238100151683,26.53695730026193,26.24378588599637,25.290283
2021-08-16 19:30:00,,29.73333333333333,21.82639586004564,26.451591638592447,25.26870673143539,23.709156
2021-08-16 19:45:00,,25.4,21.475845608705733,24.94628846719252,24.626818846360827,23.352098
2021-08-16 20:00:00,,23.33333333333333,18.264659385494536,22.99554403311472,24.2750505697311,23.425165
2021-08-16 20:15:00,,20.53333333333333,17.822716379586456,20.519564847683785,24.157001059287644,21.423214
2021-08-16 20:30:00,,19.866666666666667,14.465106118723613,17.420088737883027,24.207447469162176,17.045746
2021-08-16 20:45:00,,11.066666666666666,15.841838642535588,18.087013671439816,24.35730550632704,16.688688
2021-08-16 21:00:00,,12.0,15.343036253271508,17.81243108789777,24.53868880467472,18.417965
2021-08-16 21:15:00,,12.133333333333333,16.12600262403938,19.22130918625669,24.68971048806352,19.063679
2021-08-16 21:30:00,,13.4,19.19849486049783,20.788378651871657,24.758693116649383,19.236902
2021-08-16 21:45:00,,23.4,18.30954366709947,20.96833673183998,24.707499178594688,19.63125
2021-08-16 22:00:00,,21.866666666666667,16.487355879696125,19.855746313563127,24.51376008572696,24.594147
2021-08-16 22:15:00,,27.33333333333333,13.877214475772725,17.40718175596156,24.17186255416214,24.719198
2021-08-16 22:30:00,,22.8,11.46018346284913,15.091572274685412,23.692641572577543,25.206066
2021-08-16 22:45:00,,22.466666666666665,10.555333090495992,14.372817200951204,23.10182252991258,24.894398
2021-08-16 23:00:00,,21.266666666666666,14.691667114210915,15.506918557666884,22.43734490495779,19.69199
2021-08-16 23:15:00,,20.866666666666667,13.821386266141513,14.297357837632951,21.745779949793945,19.535181
2021-08-16 23:30:00,,21.53333333333333,15.927481480306495,17.53235840538659,21.07811939515508,19.422163
2021-08-16 23:45:00,,31.8,15.3931300356341,18.12032260235234,20.48525685327461,19.499485
2021-08-17 00:00:00,,35.46666666666667,14.108538466915483,18.938516973283257,20.013505184199005,19.056791
