,mean,mean_se,mean_ci_lower,mean_ci_upper
2021-08-16 00:15:00,21.005353465165975,4.654283436464563,11.883125555854114,30.127581374477835
2021-08-16 00:30:00,20.839198269310444,5.996989659630286,9.085314520775967,32.59308201784492
2021-08-16 00:45:00,18.930977505477358,6.806077468690419,5.5913107908546,32.27064422010012
2021-08-16 01:00:00,14.5174808239436,7.3792157889322665,0.05448364348703727,28.98047800440016
2021-08-16 01:15:00,17.66825323091582,7.826685272611237,2.328231978267741,33.008274483563895
2021-08-16 01:30:00,19.67473092692192,8.199545923172748,3.6039162279211077,35.74554562592273
2021-08-16 01:45:00,16.987572118980292,8.524330311723936,0.28019171567828494,33.6949525222823
2021-08-16 02:00:00,19.022581576106518,8.815902182103763,1.743730807955071,36.30143234425796
2021-08-16 02:15:00,15.393320948751665,9.083069933631254,-2.409168990224213,33.195810887727546
2021-08-16 02:30:00,17.59755045128309,9.331305320005383,-0.6914719046744615,35.88657280724064
2021-08-16 02:45:00,15.943117889800781,9.564158356859977,-2.8022880320825543,34.68852381168412
2021-08-16 03:00:00,16.558445170419855,9.784032842050745,-2.617906823556673,35.73479716439638
2021-08-16 03:15:00,17.995388946269166,9.992628006776773,-1.5898020579195737,37.5805799504579
2021-08-16 03:30:00,17.610422504213226,10.191197506986484,-2.3639575688146692,37.58480257724112
2021-08-16 03:45:00,18.19992841700434,10.380704948032058,-2.1458794152752283,38.545736249283905
2021-08-16 04:00:00,16.521631034171154,10.561919242341215,-4.179350288438204,37.222612356780516
2021-08-16 04:15:00,16.02353137475344,10.735474254215575,-5.017611520466083,37.06467426997296
2021-08-16 04:30:00,15.713027112712439,10.901906883512869,-5.654317741782087,37.080371967206965
2021-08-16 04:45:00,19.664985827711572,11.061681932592213,-2.01551236860659,41.34548402402973
2021-08-16 05:00:00,17.381690839428494,11.21520875072242,-4.599714391085904,39.36309606994289
2021-08-16 05:15:00,19.424686589452005,11.36285268318887,-2.846095431232495,41.6954686101365
2021-08-16 05:30:00,18.180977900707127,11.504943181493346,-4.368296379199496,40.730252180613746
2021-08-16 05:45:00,19.25881967593353,11.641779726199891,-3.5586493033668276,42.07628865523389
2021-08-16 06:00:00,19.209811290733747,11.773636285479197,-3.8660917958794236,42.28571437734692
2021-08-16 06:15:00,16.9795305702791,11.900764769493009,-6.345539766410315,40.30460090696852
2021-08-16 06:30:00,16.426442821085434,12.023397777948945,-7.138983795493413,39.99186943766428
2021-08-16 06:45:00,13.278517730171332,12.141750836334554,-10.518876618303475,37.07591207864614
2021-08-16 07:00:00,13.327470986377467,12.256024251958834,-10.693895141111305,37.34883711386624
2021-08-16 07:15:00,13.174910349607972,12.366404679710913,-11.062797440873,37.412618140088945
2021-08-16 07:30:00,12.296497352081806,12.473066460674245,-12.150263687614197,36.74325839177781
2021-08-16 07:45:00,11.763759910366607,12.576172779057636,-12.885085799939363,36.41260562067258
2021-08-16 08:00:00,15.51950703828048,12.675876671012485,-9.324754709375465,40.36376878593643
2021-08-16 08:15:00,35.60095151830505,12.772321910738363,10.567660574306053,60.63424246230405
2021-08-16 08:30:00,46.34571551421296,12.86564379354337,21.12951704094668,71.56191398747924
2021-08-16 08:45:00,49.286472973288795,12.95596983140321,23.893238718951025,74.67970722762657
2021-08-16 09:00:00,44.66376900285911,13.043420373529575,19.099134835525167,70.22840317019306
2021-08-16 09:15:00,46.09933237835037,13.128109162175413,20.368711235376256,71.82995352132448
2021-08-16 09:30:00,43.83181992768709,13.210143832149454,17.94041378608023,69.72322606929396
2021-08-16 09:45:00,43.88344383897038,13.289626361136254,17.836254803149227,69.93063287479153
2021-08-16 10:00:00,41.29683004412579,13.366653476820925,15.098670635729682,67.4949894525219
2021-08-16 10:15:00,37.599517474393096,13.441317025929578,11.255020198786092,63.9440147500001
2021-08-16 10:30:00,42.204384838888494,13.513704309568565,15.71801109441039,68.6907585833666
2021-08-16 10:45:00,42.98128755761239,13.58389838864246,16.357335946221493,69.60523916900328
2021-08-16 11:00:00,42.5433642209405,13.65197836262631,15.785978312472832,69.30075012940816
2021-08-16 11:15:00,46.113242305160654,13.71801962454282,19.226417901843053,73.00006670847826
2021-08-16 11:30:00,46.52182934980959,13.782094094634646,19.509421292783525,73.53423740683566
2021-08-16 11:45:00,48.43570990354878,13.844270434914664,21.30143845888337,75.5699813482142
2021-08-16 12:00:00,41.01868444166725,13.904614246513544,13.766141299578159,68.27122758375634
2021-08-16 12:15:00,40.965104571018024,13.963188251517275,13.597758488691355,68.3324506533447
2021-08-16 12:30:00,43.38461051876378,14.02005246079128,15.905812634250712,70.86340840327685
2021-08-16 12:45:00,40.109399890205225,14.075264329117918,12.522388732252779,67.69641104815767
2021-08-16 13:00:00,37.31899878443325,14.128878898826285,9.626905000805792,65.0110925680607
2021-08-16 13:15:00,39.64133632276742,14.18094893296444,11.84718714755541,67.43548549797944
2021-08-16 13:30:00,38.370882438339834,14.231525038951233,10.477605916915426,66.26415895976425
2021-08-16 13:45:00,41.25324494432067,14.280655783546106,13.263673932956678,69.24281595568466
2021-08-16 14:00:00,42.84302838841623,14.328387799888178,14.759904344112297,70.92615243272016
2021-08-16 14:15:00,46.607635332373,14.374765887279352,18.433611907110517,74.78165875763548
2021-08-16 14:30:00,45.71340272711647,14.41983310431837,17.45104917957406,73.97575627465888
2021-08-16 14:45:00,46.36484219687607,14.4636308559329,18.01664663356535,74.71303776018678
2021-08-16 15:00:00,48.07588949056336,14.506198974803564,19.644261947376524,76.5075170337502
2021-08-16 15:15:00,45.2945204932049,14.547575797626546,16.78179586749032,73.80724511891948
2021-08-16 15:30:00,47.08965975326108,14.587798236619394,18.49810059575016,75.681218910772
2021-08-16 15:45:00,47.08713594388247,14.626901846637063,18.41893511907142,75.75533676869352
2021-08-16 16:00:00,40.350474586747346,14.664920888231771,11.607757809683935,69.09319136381076
2021-08-16 16:15:00,35.61388856078504,14.701888386960139,6.7987168176154995,64.42906030395459
2021-08-16 16:30:00,36.72127222932333,14.737836189214223,7.835644088412419,65.60690037023424
2021-08-16 16:45:00,36.37244679180466,14.772795014828874,7.418300611747217,65.32659297186211
2021-08-16 17:00:00,36.36910332082141,14.806794506696043,7.348319361211647,65.38988728043117
2021-08-16 17:15:00,37.167563718716394,14.839863277597084,8.081966159127585,66.2531612783052
2021-08-16 17:30:00,26.89629958827804,14.872028954446428,-2.2523415394738358,56.04494071602991
2021-08-16 17:45:00,27.351882694624877,14.903318220123943,-1.8580842669576327,56.561849656207386
2021-08-16 18:00:00,23.13960619213561,14.933756853058895,-6.130019393738042,52.40923177800926
2021-08-16 18:15:00,21.208924250425447,14.96336976471517,-8.118741575771868,50.53659007662276
2021-08-16 18:30:00,19.042315911622936,14.992181035115548,-10.341818966907965,48.42645079015384
2021-08-16 18:45:00,21.767338742831612,15.020213946531882,-7.671739632457108,51.20641711812033
2021-08-16 19:00:00,21.389728504043354,15.04749101545801,-8.102811943944392,50.8822689520311
2021-08-16 19:15:00,21.110238100151683,15.07403402297306,-8.434325686606936,50.654801886910306
2021-08-16 19:30:00,21.826395860045636,15.099864043594177,-7.7687938368503,51.42158555694157
2021-08-16 19:45:00,21.475845608705733,15.125001472709698,-8.168612543920553,51.12030376133202
2021-08-16 20:00:00,18.264659385494536,15.149466052675743,-11.427748462762096,47.95706723375117
2021-08-16 20:15:00,17.822716379586456,15.173276897651604,-11.916359867264333,47.561792626437246
2021-08-16 20:30:00,14.465106118723611,15.196452517240727,-15.319393507841259,44.24960574528848
2021-08-16 20:45:00,15.841838642535588,15.219010838994874,-13.986874482219076,45.67055176729025
2021-08-16 21:00:00,15.343036253271507,15.240969229827552,-14.52871452667366,45.21478703321667
2021-08-16 21:15:00,16.12600262403938,15.262344516367756,-13.78764294768381,46.03964819576257
2021-08-16 21:30:00,19.19849486049783,15.28315300426375,-10.755934598074248,49.15292431906991
2021-08-16 21:45:00,18.30954366709947,15.303410496414434,-11.684589746505054,48.30367708070399
2021-08-16 22:00:00,16.487355879696125,15.323132310054792,-13.545431578353309,46.52014333774556
2021-08-16 22:15:00,13.877214475772725,15.342333292536564,-16.193206216408765,43.94763516795422
2021-08-16 22:30:00,11.46018346284913,15.361027835495706,-18.646877860239716,41.56724478593797
2021-08-16 22:45:00,10.555333090495992,15.379229886821394,-19.58740359763595,40.69806977862794
2021-08-16 23:00:00,14.691667114210917,15.396952959301302,-15.485806157677041,44.86914038609888
2021-08-16 23:15:00,13.821386266141511,15.414210133705827,-16.389910446054245,44.03268297833726
2021-08-16 23:30:00,15.927481480306497,15.43101405167088,-14.316750305899927,46.171713266512924
2021-08-16 23:45:00,15.393130035634101,15.447376888331934,-14.883172321112898,45.6694323923811
2021-08-17 00:00:00,14.108538466915483,15.463310282109353,-16.198992767786752,44.416069701617715
